City, Country,Continent,Population (2024),Population (2023),Growth Rate
Firozabad,India,Asia,918218,894388,0.0266
Luanda,Angola,Africa,9651032,9292336,0.0386
Yuncheng,China,Asia,777193,754711,0.0298
Managua,Nicaragua,North America,1107118,1094510,0.0115
Accra,Ghana,Africa,2721165,2660072,0.023
Maceio,Brazil,South America,1375984,1363510,0.0091
Ludhiana,India,Asia,1988438,1951085,0.0191
Damascus,Syria,Asia,2685361,2584771,0.0389
Bozhou,China,Asia,854946,830125,0.0299
Zhongshan,China,Asia,3051065,3010685,0.0134
Bhiwandi,India,Asia,924670,906581,0.02
Eskisehir,Turkey,Asia,848002,834065,0.0167
Manchester,United Kingdom,,2811756,2791005,0.0074
Belem,Brazil,South America,2432177,2409409,0.0094
Bucheon,South Korea,Asia,826919,826981,-0.0001
Xiamen,China,Asia,4007468,3935484,0.0183
Srinagar,India,Asia,1737502,1698277,0.0231
Songkhla,Thailand,Asia,1017784,1005007,0.0127
Hargeysa,Somalia,Africa,1176617,1127198,0.0438
Nagoya,Japan,Asia,9556879,9569328,-0.0013
Hermosillo,Mexico,North America,929961,915060,0.0163
Shimkent,Kazakhstan,Asia,1181020,1155073,0.0225
Ahmedabad,India,Asia,8854444,8650605,0.0236
Thessaloniki,Greece,Europe,814980,814524,0.0006
Sendai,Japan,Asia,2341433,2342302,-0.0004
Jerusalem,Israel,Asia,983097,969804,0.0137
Merca,Somalia,Africa,793545,760129,0.044
Acapulco De Juarez,Mexico,North America,1032772,1018976,0.0135
Dongying,China,Asia,1410791,1379377,0.0228
Nyala,Sudan,Africa,1101314,1056952,0.042
Madurai,India,Asia,1871912,1834279,0.0205
Jiaxing,China,Asia,1470917,1424982,0.0322
Zhuhai,China,Asia,1930373,1889829,0.0215
Mianyang Sichuan,China,Asia,1376449,1351383,0.0185
Jabalpur,India,Asia,1551004,1522121,0.019
Suzhou,China,Asia,8350625,8074031,0.0343
Barranquilla,Colombia,South America,2373302,2349400,0.0102
Nnewi,Nigeria,Africa,1300993,1239186,0.0499
Jingzhou Hubei,China,Asia,1108067,1089886,0.0167
La Plata,Argentina,South America,923715,914036,0.0106
Hefei,China,Asia,4727290,4615758,0.0242
Baku,Azerbaijan,Asia,2464162,2432304,0.0131
Montevideo,Uruguay,South America,1781363,1774396,0.0039
Tirupati,India,Asia,775455,752744,0.0302
Yingkou,China,Asia,1355564,1323174,0.0245
Freetown,Sierra Leone,Africa,1347559,1309168,0.0293
Nay Pyi Taw,Myanmar,Asia,757823,722836,0.0484
Beirut,Lebanon,Asia,2402485,2421354,-0.0078
Ufa,Russia,Asia,1146786,1144799,0.0017
Quanzhou,China,Asia,1920733,1869994,0.0271
Changchun,China,Asia,4802447,4710382,0.0195
Grande Sao Luis,Brazil,South America,1536017,1523629,0.0081
Esfahan,Iran,Asia,2294589,2258396,0.016
Aleppo,Syria,Asia,2317650,2203025,0.052
Ulsan,South Korea,Asia,914300,912734,0.0017
Curitiba,Brazil,South America,3852459,3813082,0.0103
Liling,China,Asia,970907,936997,0.0362
Cordoba,Argentina,South America,1625937,1611651,0.0089
Sharjah,United Arab Emirates,Asia,1872199,1830858,0.0226
Zurich,Switzerland,Europe,1443349,1431538,0.0083
Dehradun,India,Asia,1016402,991876,0.0247
Tangerang,Indonesia,Asia,2570980,2514077,0.0226
Montreal,Canada,North America,4341638,4307958,0.0078
Tel Aviv,Israel,Asia,4495727,4420855,0.0169
Fort Worth,United States,North America,989842,973275,0.017
Samut Prakan,Thailand,Asia,1376146,1358871,0.0127
Bobo Dioulasso,Burkina Faso,Africa,1185053,1128646,0.05
Kayseri,Turkey,Asia,1025507,1013240,0.0121
Banjarmasin,Indonesia,Asia,785125,770959,0.0184
Raipur,India,Asia,1871107,1816813,0.0299
Saint Petersburg,Russia,Asia,5581707,5561294,0.0037
Jiujiang,China,Asia,1004247,982777,0.0218
Kolkata,India,Asia,15570786,15332793,0.0155
Goyang,South Korea,Asia,1114079,1105283,0.008
Bhavnagar,India,Asia,751493,737128,0.0195
Vienna,Austria,Europe,1990487,1975271,0.0077
Ankara,Turkey,Asia,5477087,5397098,0.0148
Guigang,China,Asia,990310,967428,0.0237
Al Hudaydah,Yemen,Asia,759157,734699,0.0333
Toronto,Canada,North America,6431430,6371958,0.0093
Belgaum,India,Asia,783020,767161,0.0207
Oshogbo,Nigeria,Africa,795808,771515,0.0315
Baghdad,Iraq,Asia,7921134,7711305,0.0272
Gaoxiong,Taiwan,Asia,1559085,1552899,0.004
Umuahia,Nigeria,Africa,947460,904139,0.0479
Hufuf Mubarraz,Saudi Arabia,Asia,884753,872438,0.0141
Datong,China,Asia,1913674,1873693,0.0213
Vadodara,India,Asia,2373365,2324084,0.0212
Tongling,China,Asia,770032,752916,0.0227
Goiania,Brazil,South America,2890418,2848473,0.0147
Yinchuan,China,Asia,1757699,1716591,0.0239
Stockholm,Sweden,Europe,1719604,1700066,0.0115
Port Harcourt,Nigeria,Africa,3636547,3480101,0.045
Shizuoka,Japan,Asia,2935527,2937359,-0.0006
Huizhou,China,Asia,2827610,2758593,0.025
Shaoguan,China,Asia,794279,784230,0.0128
Daqing,China,Asia,2044371,2000656,0.0219
Saltillo,Mexico,North America,1050320,1034126,0.0157
San Jose,United States,North America,932636,951934,-0.0203
Saharanpur,India,Asia,1207856,1171689,0.0309
Zaria,Nigeria,Africa,786197,766007,0.0264
Guatemala City,Guatemala,North America,3159631,3095099,0.0208
Urumqi,China,Asia,5005964,4865038,0.029
Krasnoyarsk,Russia,Asia,1173095,1166792,0.0054
Jiddah,Saudi Arabia,Asia,4943210,4862941,0.0165
Tabriz,Iran,Asia,1678028,1660737,0.0104
Charlotte,United States,North America,920325,909022,0.0124
Shaoyang,China,Asia,776404,761169,0.02
Abomey Calavi,Benin,Africa,1314916,1252890,0.0495
Muscat,Oman,Asia,1676167,1650319,0.0157
Adana,Turkey,Asia,1856638,1835895,0.0113
Yichun Jiangxi,China,Asia,1122041,1078630,0.0402
Florianopolis,Brazil,South America,1309895,1294486,0.0119
Lianyungang,China,Asia,2035631,1986439,0.0248
Bucharest,Romania,Europe,1767520,1776385,-0.005
San Salvador,El Salvador,North America,1123376,1116052,0.0066
Zarqa,Jordan,Asia,753392,748428,0.0066
Qinhuangdao,China,Asia,1723728,1680962,0.0254
Guilin,China,Asia,1218067,1196841,0.0177
Ji Nan Shandong,China,Asia,5940698,5806031,0.0232
Huzhou,China,Asia,1091811,1067651,0.0226
Sao Paulo,Brazil,South America,22806704,22619736,0.0083
Jiangmen,China,Asia,1797469,1768511,0.0164
Sialkot,Pakistan,Asia,770962,753325,0.0234
Rajshahi,Bangladesh,Asia,983707,961991,0.0226
Khartoum,Sudan,Africa,6542070,6344348,0.0312
Philadelphia,United States,North America,1533916,1550587,-0.0107
Ashgabat,Turkmenistan,Asia,921601,902353,0.0213
Santo Domingo,Dominican Republic,,3587402,3523890,0.018
Kumasi,Ghana,Africa,3903481,3768239,0.0359
Saratov,Russia,Asia,837687,838377,-0.0008
San Pedro Sula,Honduras,North America,1008220,982021,0.0267
Suzhou,China,Asia,1349994,1310433,0.0302
Dublin,Ireland,Europe,1284551,1270172,0.0113
Qiqihaer,China,Asia,1662407,1635458,0.0165
Bamako,Mali,Africa,3050570,2929373,0.0414
Yekaterinburg,Russia,Asia,1532970,1527728,0.0034
Omsk,Russia,Asia,1180677,1180745,-0.0001
Anyang,China,Asia,1693375,1642347,0.0311
Zanzibar,Tanzania,Africa,835850,800010,0.0448
Bengbu,China,Asia,959784,944465,0.0162
Karachi,Pakistan,Asia,17648555,17236230,0.0239
